timestamp,index,utilization_gpu,memory_used_mib,memory_total_mib
2026-07-15T08:17:47+00:00,1, 0, 3, 97871
2026-07-15T08:17:52+00:00,0, 44, 4697, 97871
2026-07-15T08:17:52+00:00,1, 0, 3, 97871
2026-07-15T08:17:57+00:00,0, 43, 4697, 97871
2026-07-15T08:17:57+00:00,1, 0, 3, 97871
2026-07-15T08:18:02+00:00,0, 0, 4697, 97871
2026-07-15T08:18:02+00:00,1, 0, 3, 97871
2026-07-15T08:18:07+00:00,0, 0, 4697, 97871
2026-07-15T08:18:07+00:00,1, 0, 3, 97871
2026-07-15T08:18:13+00:00,0, 42, 4697, 97871
2026-07-15T08:18:13+00:00,1, 0, 3, 97871
2026-07-15T08:18:18+00:00,0, 40, 4697, 97871
2026-07-15T08:18:18+00:00,1, 0, 3, 97871
2026-07-15T08:18:23+00:00,0, 17, 4697, 97871
2026-07-15T08:18:23+00:00,1, 0, 3, 97871
2026-07-15T08:18:28+00:00,0, 0, 4697, 97871
2026-07-15T08:18:28+00:00,1, 0, 3, 97871
2026-07-15T08:18:33+00:00,0, 16, 4697, 97871
2026-07-15T08:18:33+00:00,1, 0, 3, 97871
2026-07-15T08:18:38+00:00,0, 19, 4697, 97871
2026-07-15T08:18:38+00:00,1, 0, 3, 97871
2026-07-15T08:18:43+00:00,0, 0, 4697, 97871
2026-07-15T08:18:43+00:00,1, 0, 3, 97871
2026-07-15T08:18:48+00:00,0, 8, 4697, 97871
2026-07-15T08:18:48+00:00,1, 0, 3, 97871
2026-07-15T08:18:53+00:00,0, 0, 4697, 97871
2026-07-15T08:18:53+00:00,1, 0, 3, 97871
2026-07-15T08:18:58+00:00,0, 0, 4697, 97871
2026-07-15T08:18:58+00:00,1, 0, 3, 97871
2026-07-15T08:19:03+00:00,0, 44, 4697, 97871
2026-07-15T08:19:03+00:00,1, 0, 3, 97871
2026-07-15T08:19:09+00:00,0, 44, 4697, 97871
2026-07-15T08:19:09+00:00,1, 0, 3, 97871
2026-07-15T08:19:14+00:00,0, 10, 4697, 97871
2026-07-15T08:19:14+00:00,1, 0, 3, 97871
2026-07-15T08:19:19+00:00,0, 32, 4697, 97871
2026-07-15T08:19:19+00:00,1, 0, 3, 97871
2026-07-15T08:19:24+00:00,0, 0, 4697, 97871
2026-07-15T08:19:24+00:00,1, 0, 3, 97871
